iter	Passed	Remaining
0	112	112681
1	114	56954
2	115	38282
3	116	28925
4	117	23283
5	117	19489
6	118	16775
7	118	14729
8	119	13137
9	119	11860
10	120	10815
11	120	9944
12	121	9215
13	121	8582
14	122	8033
15	122	7553
16	123	7132
17	123	6759
18	124	6427
19	124	6123
20	125	5848
21	125	5598
22	126	5370
23	126	5159
24	127	4964
25	127	4786
26	128	4633
27	129	4482
28	129	4340
29	131	4237
30	131	4120
31	132	4001
32	132	3893
33	133	3792
34	133	3691
35	134	3595
36	134	3513
37	135	3433
38	136	3359
39	136	3285
40	137	3213
41	137	3146
42	138	3082
43	138	3018
44	139	2959
45	139	2902
46	140	2852
47	141	2799
48	141	2747
49	142	2716
50	143	2671
51	144	2626
52	144	2581
53	144	2538
54	145	2497
55	145	2458
56	146	2421
57	146	2385
58	147	2354
59	148	2332
60	149	2303
61	150	2273
62	150	2244
63	151	2217
64	152	2188
65	152	2163
66	153	2135
67	153	2108
68	154	2091
69	155	2068
70	156	2042
71	156	2019
72	157	1994
73	157	1970
74	157	1948
75	158	1926
76	159	1906
77	159	1886
78	160	1865
79	161	1851
80	161	1832
81	162	1814
82	162	1792
83	162	1775
84	163	1760
85	163	1742
86	164	1726
87	165	1710
88	165	1693
89	166	1678
90	167	1673
91	168	1661
92	168	1647
93	169	1636
94	170	1621
95	170	1607
96	171	1594
97	171	1581
98	172	1569
99	172	1556
100	173	1543
101	174	1532
102	174	1520
103	175	1508
104	175	1497
105	176	1484
106	176	1473
107	176	1461
108	177	1449
109	177	1440
110	178	1429
111	179	1420
112	179	1410
113	180	1401
114	180	1392
115	181	1382
116	181	1373
117	182	1364
118	183	1356
119	183	1347
120	185	1344
121	185	1337
122	186	1328
123	187	1321
124	187	1313
125	188	1305
126	188	1296
127	189	1289
128	189	1281
129	192	1287
130	192	1279
131	193	1272
132	194	1266
133	195	1262
134	195	1255
135	196	1248
136	197	1242
137	197	1236
138	198	1229
139	198	1222
140	199	1215
141	199	1207
142	200	1200
143	201	1194
144	201	1188
145	202	1181
146	202	1175
147	203	1170
148	204	1165
149	204	1159
150	205	1153
151	205	1148
152	206	1143
153	207	1138
154	207	1132
155	208	1127
156	208	1122
157	209	1116
158	210	1112
159	210	1106
160	211	1100
161	211	1095
162	212	1090
163	213	1086
164	213	1081
165	214	1076
166	214	1071
167	215	1066
168	215	1061
169	216	1057
170	217	1052
171	217	1047
172	218	1044
173	219	1040
174	219	1037
175	220	1033
176	221	1029
177	222	1025
178	222	1021
179	223	1016
180	223	1012
181	224	1009
182	225	1006
183	225	1002
184	226	997
185	227	993
186	227	990
187	228	986
188	228	982
189	229	978
190	230	974
191	230	970
192	231	966
193	231	963
194	232	959
195	233	956
196	233	952
197	234	948
198	234	945
199	235	941
200	236	939
201	236	935
202	237	932
203	237	928
204	238	925
205	239	922
206	239	918
207	240	915
208	240	911
209	241	908
210	242	905
211	242	902
212	243	899
213	243	896
214	244	893
215	245	890
216	245	887
217	246	883
218	246	880
219	247	877
220	248	874
221	248	871
222	249	868
223	249	865
224	250	862
225	250	859
226	251	857
227	252	854
228	252	851
229	253	848
230	254	846
231	254	843
232	255	841
233	256	838
234	256	835
235	257	833
236	257	830
237	258	827
238	259	825
239	259	822
240	260	819
241	261	817
242	261	815
243	262	812
244	262	810
245	263	808
246	264	805
247	264	802
248	265	800
249	265	797
250	266	795
251	267	793
252	267	790
253	268	788
254	269	785
255	269	783
256	270	780
257	270	778
258	271	776
259	271	773
260	272	772
261	273	769
262	274	767
263	274	765
264	275	763
265	275	760
266	276	758
267	276	756
268	277	754
269	278	752
270	279	750
271	279	748
272	280	747
273	281	744
274	281	742
275	282	740
276	282	738
277	283	736
278	284	734
279	284	732
280	285	730
281	285	727
282	286	725
283	286	723
284	287	721
285	287	718
286	288	716
287	289	714
288	289	713
289	290	711
290	291	709
291	291	707
292	292	705
293	293	703
294	293	702
295	294	700
296	295	698
297	295	696
298	296	694
299	297	693
300	297	691
301	298	689
302	298	687
303	299	685
304	300	683
305	300	682
306	301	680
307	301	678
308	302	676
309	303	674
310	303	673
311	304	671
312	305	669
313	305	668
314	306	666
315	307	665
316	307	663
317	308	661
318	309	660
319	309	658
320	310	656
321	311	655
322	311	653
323	312	652
324	313	650
325	313	649
326	314	647
327	315	645
328	315	644
329	316	642
330	317	641
331	317	639
332	318	638
333	319	636
334	319	635
335	320	633
336	321	631
337	321	630
338	322	628
339	323	627
340	323	625
341	324	624
342	325	622
343	325	621
344	326	620
345	327	618
346	327	616
347	328	615
348	329	614
349	330	612
350	330	611
351	331	610
352	332	609
353	332	607
354	333	606
355	334	604
356	335	603
357	335	601
358	336	600
359	336	599
360	337	597
361	338	596
362	339	594
363	339	593
364	340	592
365	340	590
366	341	589
367	342	587
368	343	587
369	344	586
370	345	584
371	345	583
372	346	582
373	346	580
374	347	579
375	348	577
376	348	576
377	349	575
378	350	574
379	351	572
380	351	571
381	352	570
382	353	568
383	353	567
384	354	566
385	355	564
386	355	563
387	356	562
388	357	561
389	357	559
390	358	558
391	359	557
392	359	555
393	360	554
394	361	553
395	361	552
396	362	550
397	363	549
398	363	548
399	364	546
400	365	545
401	365	544
402	366	543
403	367	542
404	368	540
405	368	539
406	369	538
407	370	536
408	370	535
409	371	534
410	371	533
411	372	531
412	373	530
413	373	529
414	374	528
415	375	526
416	375	525
417	376	524
418	377	522
419	377	521
420	378	520
421	379	519
422	379	518
423	380	517
424	381	515
425	381	514
426	382	513
427	383	512
428	383	510
429	384	509
430	385	508
431	386	507
432	386	506
433	387	505
434	387	503
435	388	502
436	389	501
437	389	500
438	390	499
439	391	497
440	392	497
441	392	495
442	393	494
443	394	493
444	394	492
445	395	491
446	396	489
447	396	488
448	397	487
449	398	486
450	398	485
451	399	484
452	399	482
453	400	481
454	401	480
455	401	479
456	402	478
457	403	477
458	403	476
459	404	474
460	405	473
461	405	472
462	406	471
463	407	470
464	407	469
465	408	468
466	409	466
467	409	465
468	410	464
469	411	463
470	411	462
471	412	461
472	413	460
473	413	459
474	414	458
475	414	456
476	415	455
477	416	454
478	416	453
479	417	452
480	418	451
481	418	450
482	419	449
483	420	448
484	420	447
485	421	446
486	422	444
487	422	443
488	423	442
489	424	441
490	424	440
491	425	439
492	426	438
493	426	437
494	427	436
495	428	435
496	428	433
497	429	432
498	430	431
499	430	430
500	431	429
501	432	428
502	432	427
503	433	426
504	434	425
505	434	424
506	435	423
507	436	422
508	436	421
509	437	420
510	438	419
511	438	418
512	439	417
513	440	416
514	440	415
515	441	414
516	442	413
517	442	412
518	443	410
519	444	409
520	444	408
521	445	408
522	446	406
523	446	405
524	447	404
525	448	403
526	448	402
527	449	401
528	450	400
529	450	399
530	451	398
531	452	397
532	452	396
533	453	395
534	454	394
535	454	393
536	455	392
537	456	391
538	456	390
539	457	389
540	458	388
541	458	387
542	459	386
543	460	385
544	460	384
545	461	383
546	462	382
547	462	381
548	463	380
549	464	379
550	464	378
551	465	377
552	466	376
553	466	375
554	467	374
555	468	373
556	468	372
557	469	371
558	470	371
559	470	369
560	471	369
561	472	368
562	472	367
563	473	366
564	474	365
565	475	364
566	475	363
567	476	362
568	477	361
569	477	360
570	478	359
571	479	358
572	479	357
573	480	356
574	481	355
575	481	354
576	482	353
577	483	352
578	483	351
579	484	350
580	485	350
581	486	349
582	486	348
583	487	347
584	488	346
585	488	345
586	489	344
587	490	343
588	490	342
589	491	341
590	492	340
591	492	339
592	493	338
593	494	337
594	494	336
595	495	335
596	496	334
597	496	334
598	497	333
599	498	332
600	498	331
601	499	330
602	500	329
603	500	328
604	501	327
605	502	326
606	502	325
607	503	324
608	504	323
609	504	322
610	505	321
611	506	320
612	506	319
613	507	318
614	508	318
615	508	317
616	509	316
617	510	315
618	510	314
619	511	313
620	512	312
621	513	311
622	513	310
623	514	310
624	515	309
625	516	308
626	516	307
627	517	306
628	518	305
629	518	304
630	519	303
631	519	302
632	520	301
633	521	300
634	522	300
635	522	299
636	523	298
637	524	297
638	525	296
639	525	295
640	526	294
641	527	294
642	528	293
643	528	292
644	529	291
645	530	290
646	530	289
647	531	288
648	532	287
649	532	286
650	533	286
651	534	285
652	534	284
653	535	283
654	536	282
655	536	281
656	537	280
657	538	279
658	538	278
659	539	277
660	540	277
661	540	276
662	541	275
663	542	274
664	543	273
665	543	272
666	544	271
667	545	270
668	545	270
669	546	269
670	547	268
671	547	267
672	548	266
673	549	265
674	549	264
675	550	263
676	551	262
677	551	262
678	552	261
679	553	260
680	553	259
681	554	258
682	555	257
683	555	256
684	556	256
685	557	255
686	558	254
687	558	253
688	559	252
689	560	251
690	560	250
691	561	249
692	561	248
693	562	248
694	563	247
695	564	246
696	564	245
697	565	244
698	566	243
699	566	242
700	567	241
701	568	241
702	568	240
703	569	239
704	570	238
705	570	237
706	571	236
707	572	235
708	572	235
709	573	234
710	574	233
711	574	232
712	575	231
713	576	230
714	576	229
715	577	229
716	578	228
717	578	227
718	579	226
719	580	225
720	580	224
721	581	223
722	582	223
723	582	222
724	583	221
725	584	220
726	584	219
727	585	218
728	586	217
729	586	217
730	587	216
731	588	215
732	588	214
733	589	213
734	590	212
735	590	211
736	591	211
737	592	210
738	592	209
739	593	208
740	594	207
741	594	206
742	595	205
743	596	205
744	596	204
745	597	203
746	598	202
747	598	201
748	599	200
749	600	200
750	600	199
751	601	198
752	602	197
753	602	196
754	603	195
755	604	194
756	604	194
757	605	193
758	606	192
759	606	191
760	607	190
761	608	189
762	608	189
763	609	188
764	610	187
765	611	186
766	611	185
767	612	184
768	612	184
769	613	183
770	614	182
771	614	181
772	615	180
773	616	179
774	616	179
775	617	178
776	618	177
777	618	176
778	619	175
779	620	174
780	620	174
781	621	173
782	622	172
783	623	171
784	623	170
785	624	169
786	624	169
787	625	168
788	626	167
789	627	166
790	627	165
791	628	165
792	629	164
793	629	163
794	630	162
795	630	161
796	631	160
797	632	160
798	633	159
799	633	158
800	634	157
801	635	156
802	635	155
803	636	155
804	636	154
805	637	153
806	638	152
807	639	151
808	639	151
809	640	150
810	641	149
811	641	148
812	642	147
813	643	146
814	643	146
815	644	145
816	645	144
817	645	143
818	646	142
819	647	142
820	647	141
821	648	140
822	649	139
823	649	138
824	650	138
825	651	137
826	652	136
827	652	135
828	653	134
829	654	134
830	654	133
831	655	132
832	656	131
833	657	130
834	657	129
835	658	129
836	659	128
837	659	127
838	660	126
839	661	125
840	661	125
841	662	124
842	663	123
843	663	122
844	664	121
845	665	121
846	665	120
847	666	119
848	667	118
849	668	117
850	668	117
851	669	116
852	670	115
853	670	114
854	671	113
855	672	113
856	672	112
857	673	111
858	674	110
859	674	109
860	675	109
861	676	108
862	676	107
863	677	106
864	678	105
865	678	105
866	679	104
867	680	103
868	680	102
869	681	101
870	682	101
871	682	100
872	683	99
873	684	98
874	684	97
875	685	97
876	686	96
877	686	95
878	687	94
879	688	93
880	688	93
881	689	92
882	689	91
883	690	90
884	691	89
885	692	89
886	692	88
887	693	87
888	694	86
889	694	85
890	695	85
891	696	84
892	696	83
893	697	82
894	698	81
895	699	81
896	699	80
897	700	79
898	701	78
899	701	77
900	702	77
901	703	76
902	703	75
903	704	74
904	705	74
905	706	73
906	706	72
907	707	71
908	708	70
909	708	70
910	709	69
911	710	68
912	710	67
913	711	66
914	712	66
915	712	65
916	713	64
917	714	63
918	714	63
919	715	62
920	716	61
921	716	60
922	717	59
923	718	59
924	718	58
925	719	57
926	720	56
927	721	55
928	721	55
929	722	54
930	723	53
931	724	52
932	725	52
933	726	51
934	726	50
935	727	49
936	728	48
937	728	48
938	729	47
939	730	46
940	730	45
941	731	45
942	732	44
943	733	43
944	734	42
945	734	41
946	735	41
947	736	40
948	736	39
949	738	38
950	739	38
951	739	37
952	740	36
953	741	35
954	742	34
955	742	34
956	743	33
957	744	32
958	745	31
959	745	31
960	746	30
961	747	29
962	748	28
963	748	27
964	749	27
965	750	26
966	751	25
967	751	24
968	752	24
969	753	23
970	754	22
971	754	21
972	755	20
973	756	20
974	756	19
975	757	18
976	758	17
977	758	17
978	759	16
979	760	15
980	761	14
981	761	13
982	762	13
983	763	12
984	763	11
985	764	10
986	765	10
987	766	9
988	766	8
989	767	7
990	768	6
991	768	6
992	769	5
993	770	4
994	771	3
995	771	3
996	772	2
997	773	1
998	773	0
999	774	0
